tweetId,tweetText
1585687705236668429,"Occupy Democrats
@OccupyDemocrats
We’re also on @TribelSocial in preparation of Elon Musk turning Twitter into even more of a MAGA hate fest. Please follow us on Tribel, here’s the link: http://tribel.app.link/okwPIHYCIqb
This post is unavailable.
10:39 AM · Oct 27, 2022"
1585274632491487233,"Julio Rosas
@Julio_Rosas11
Scoop: 
@repmayraflores
 was rejected from being able to join the Congressional Hispanic Caucus because she is not a Democrat.
townhall.com
Mayra Flores Prevented From Joining the Congressional Hispanic Caucus
 7:18 AM · Oct 26, 2022"
1584895064412549120,"The New York Times
@nytimes
Pennsylvania State University canceled a planned comedy event that was to be co-hosted by the founder of the Proud Boys after a demonstration against the speakers turned violent.
nytimes.com
Penn State Cancels Event by Proud Boys Founder, Citing Threat of Violence
The university’s president said that the event had been canceled in the interests of public safety, after a peaceful protest against it turned violent.
6:10 AM · Oct 25, 2022"
1586010608834842625,"Occupy Democrats
@OccupyDemocrats
BREAKING: Trump announces that he’s “very happy” that Elon Musk just bought Twitter and will allow him & other “white nationalists” back on Twitter under the guise of “free speech.” This is code red, folks. Let’s ALL move to @TribelSocial, a new pro-democracy Twitter alternative!
8:02 AM · Oct 28, 2022"
1585978604642443264,"Laurence Tribe
@tribelaw
This is nightmarish. I wish Paul Pelosi a full and rapid recovery. The far right has normalized the use of violence even against the families of public officials with whom somebody might disagree. This absolutely must stop. https://cnn.com/2022/10/28/politics/paul-pelosi-attack…
5:55 AM · Oct 28, 2022"
1585853073213124608,"jenny_tightpants
@halomancer1
no fucking way
Readers added context they thought people might want to know
This article does not exist. While incoming CEO Elon Musk has announced that he plans to end lifetime bans, his exact policy--including how it might handle former President Trump--has not been released. 

google.com/amp/s/amp.theg…

bloomberg.com/news/articles/…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
9:36 PM · Oct 27, 2022"
1586073874164113408,"sam
@sam_d_1995
Glenn Youngkin jokes about the assassination of his political opponents but he’s a “Moderate Republican” because he wears a fleece and was a private equity executive
The Recount
@therecount
·
Oct 28, 2022
Gov. Glenn Youngkin (R-VA) seems to joke about the assassination attempt on Speaker Nancy Pelosi while campaigning for GOP congressional candidate Yesli Vega:

“There’s no room for violence anywhere, but we’re going to send her back to be with him in California.”
12:14 PM · Oct 28, 2022"
1586050138044522496,"Oriental Fury
@FuryOriental
Paul Pelosi’s assailant has been ID’d as David DePape, a member of Castro Nudist Protesters and a hemp artist.

Also married to Gypsy Taub, another nudists protester.

This photo states the man to the right of Gypsy Taub is her husband.

Probably not a Christian nationalist.
10:39 AM · Oct 28, 2022"
1586058610013982720,"Mayo
@MayoIsSpicyy
Nancy Pelosi’s husband was almost murdered with a hammer. Why hasn’t the GOP denounced the political violence?
11:13 AM · Oct 28, 2022"
1586036528064741376,"VANITY FAIR
@VanityFair
Breaking: A new Senate report concludes that SARS-CoV-2—the virus that causes COVID-19—likely resulted from “a research-related incident.” The report includes evidence of alarming biosecurity issues at the Wuhan Institute of Virology.
vanityfair.com
COVID-19 Origins: Investigating a “Complex and Grave Situation” Inside a Wuhan Lab
The Wuhan Institute of Virology, the cutting-edge biotech facility at the center of swirling suspicions about the pandemic’s onset, was far more troubled than previously known, explosive documents...
9:45 AM · Oct 28, 2022"
1586448204928720896,"TaraBull
@TaraBull808
Elon Musk has already implemented Birdwatch, a fact checker ran by Twitter users, that will stop the spread of fake news by the media, and even the President of the United States.

This is huge before elections.
Readers added context they thought people might want to know
Birdwatch was launched in January 2021. The program has been gradually expanded over the past year and a half and its highest rated notes are being shown to all US users as of several weeks ago.
techcrunch.com/2022/10/06/twi…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
1:01 PM · Oct 29, 2022"
1586006140155994114,"Joe Biden
@JoeBiden
Under my watch, the economy has added nearly 700,000 manufacturing jobs. The last guy had a different track record.
From 
The Democrats
7:45 AM · Oct 28, 2022"
1586713595047469056,"John Cardillo
@johncardillo
Absolute lie right here
Scott Galloway
@profgalloway
·
Oct 29, 2022
The use of a racial slur on Twitter increased 500% in the 12 hours after Musk’s deal was finalized 

(The Network Contagion Research Institute, NYT)
Readers added context they thought people might want to know
While it’s likely due to an assumption on user’s part that there will be policy change under Musk rather than due to any actual change made to Twitter’s systems or policies, the increase is verified to have occurred. 
businessinsider.com/elon-musk-twit…
mercurynews.com/2022/10/28/aft…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
6:36 AM · Oct 30, 2022"
1586440451329957888,"Jesse Singal
@jessesingal
They are absolutely, constitutionally incapable of telling the truth
12:30 PM · Oct 29, 2022"
1586411168880807936,"Hillary Clinton
@HillaryClinton
The Republican Party and its mouthpieces now regularly spread hate and deranged conspiracy theories. It is shocking, but not surprising, that violence is the result. As citizens, we must hold them accountable for their words and the actions that follow.
latimes.com
Accused Pelosi attacker David DePape spread QAnon, other far-right, bigoted conspiracies
David DePape, 42, has been arrested in connection with a violent attack on U.S. House Speaker Nancy Pelosi's husband, Paul Pelosi.
10:34 AM · Oct 29, 2022"
1586484635386642434,"Movie News
@DisbussingFilm
Larry David will replace Henry Cavill as Geralt in ‘THE WITCHER’ Season 4.
3:26 PM · Oct 29, 2022"
1586428768159117313,"Jennifer Van Laar
@jenvanlaar
In September 2020 we had to place this editor's note at the top of a story about a lab leak at Wuhan in order to avoid being canceled and putting our writers out of work. All because Health Feedback - which relied on Peter Daszak of EcoHealth Alliance for expertise - said so.
11:44 AM · Oct 29, 2022"
1586202520048713729,"Santa Monica Observer Newspaper.
@SMObserved
The Awful Truth: Paul Pelosi Was on Drugs And In a Dispute With a Male Prostitute Friday Morning. - #PaulPelosi stated that ""he doesn't know who the male is but he advised that his name is David and that he is a friend"" #pelosiattack #pelosi #nancypelosi
smobserved.com
The Awful Truth: Paul Pelosi Was Struck on the Head With a Hammer By a Lunatic Early Friday Morning.
Update, 01.29.23: My response to the recent release of the SFPD Paul Pelosi/David Depape body cam footage, is at: https://www.smobserved.com/story/2023/01/25/opinion/stan-greene-doubles-down-on-con...
8:45 PM · Oct 28, 2022"
1586710746238418944,"John Cardillo
@johncardillo
Do not let up on 
@SpeakerPelosi
.

She tried to blame her husband’s deviance on a random attack perpetrated by a conservative. 

That same lie was then spread by prominent Dems and their media lapdogs while cuck Republicans were crying for Paulie.
6:24 AM · Oct 30, 2022"
1586407970463973376,"Ben Swann
@BenSwann_
Extremely disturbing data from VAERS.

The total number of miscarriages and stillbirths per year since 1990 attributed to a vaccine reaction.
10:21 AM · Oct 29, 2022"
1587073960096800769,"Ted Cruz
@tedcruz
truth
6:28 AM · Oct 31, 2022"
